date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-02-15,Maize (white) - Wholesale,MT,cereals and tubers,650.6575,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-03-15,Maize (white) - Wholesale,MT,cereals and tubers,670.3925,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-04-15,Maize (white) - Wholesale,MT,cereals and tubers,704.0775,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-05-15,Maize (white) - Wholesale,MT,cereals and tubers,700.9925,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-06-15,Maize (white) - Wholesale,MT,cereals and tubers,696.046,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-07-15,Maize (white) - Wholesale,MT,cereals and tubers,697.41,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-10-15,Maize (white) - Wholesale,MT,cereals and tubers,730.23,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-11-15,Maize (white) - Wholesale,MT,cereals and tubers,742.565,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-12-15,Maize (white) - Wholesale,MT,cereals and tubers,743.86,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2016-01-15,Maize (white) - Wholesale,MT,cereals and tubers,693.46,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2016-02-15,Maize (white) - Wholesale,MT,cereals and tubers,720.624,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2016-03-15,Maize (white) - Wholesale,MT,cereals and tubers,750.315,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2007-09-15,Beans (black) - Wholesale,MT,pulses and nuts,996.825,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
